epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.41191110014915466,0.10000000149011612,3.3765618801116943,0.4113999903202057,2.9470295906066895
1,0.6228222250938416,0.10000000149011612,2.0076053142547607,0.2856000065803528,3.1726036071777344
2,0.6950444579124451,0.10000000149011612,1.4558444023132324,0.5979999899864197,1.692963719367981
3,0.7477111220359802,0.10000000149011612,1.151646614074707,0.3057999908924103,2.72308349609375
4,0.778688907623291,0.10000000149011612,0.9984063506126404,0.4521999955177307,1.9529863595962524
5,0.7931777834892273,0.10000000149011612,0.9232521057128906,0.5896000266075134,1.5074294805526733
6,0.8101333379745483,0.10000000149011612,0.8754394054412842,0.6407999992370605,1.416011929512024
7,0.8162888884544373,0.10000000149011612,0.8508632183074951,0.6995999813079834,1.2475156784057617
8,0.8263999819755554,0.10000000149011612,0.8353943824768066,0.6651999950408936,1.3620185852050781
9,0.8302888870239258,0.10000000149011612,0.8237517476081848,0.7315999865531921,1.161180853843689
10,0.8368444442749023,0.10000000149011612,0.8170735239982605,0.7210000157356262,1.196713924407959
11,0.8393999934196472,0.10000000149011612,0.8164336085319519,0.30399999022483826,3.2516801357269287
12,0.8451333045959473,0.10000000149011612,0.8101130127906799,0.7251999974250793,1.2243986129760742
13,0.8467333316802979,0.10000000149011612,0.8193671703338623,0.5649999976158142,1.6342655420303345
14,0.8500000238418579,0.10000000149011612,0.811951756477356,0.6553999781608582,1.428962230682373
15,0.8973555564880371,0.009999999776482582,0.6686793565750122,0.8826000094413757,0.7581527829170227
16,0.9243777990341187,0.009999999776482582,0.5707295536994934,0.896399974822998,0.6804047226905823
17,0.932711124420166,0.009999999776482582,0.5227323770523071,0.894599974155426,0.6452676057815552
18,0.9386444687843323,0.009999999776482582,0.4853331744670868,0.9017999768257141,0.6078306436538696
19,0.9449999928474426,0.009999999776482582,0.4507628381252289,0.9047999978065491,0.578244149684906
20,0.9506666660308838,0.009999999776482582,0.41902387142181396,0.9057999849319458,0.5506090521812439
21,0.952822208404541,0.009999999776482582,0.39656171202659607,0.9028000235557556,0.5390667915344238
22,0.9655555486679077,0.0010000000474974513,0.3566107451915741,0.9174000024795532,0.4955979883670807
23,0.9695333242416382,0.0010000000474974513,0.34531763195991516,0.9196000099182129,0.48915502429008484
24,0.9723555445671082,0.0010000000474974513,0.3367043733596802,0.921999990940094,0.48428887128829956
25,0.9735999703407288,0.0010000000474974513,0.332795649766922,0.923799991607666,0.4806858003139496
26,0.9738222360610962,0.0010000000474974513,0.32666540145874023,0.9225999712944031,0.47764134407043457
27,0.9762222170829773,0.0010000000474974513,0.3209778666496277,0.925000011920929,0.47495096921920776
28,0.976288914680481,0.0010000000474974513,0.3185119926929474,0.9261999726295471,0.47201767563819885
29,0.9769777655601501,0.0010000000474974513,0.31432878971099854,0.9261999726295471,0.4702790379524231
