d,pca_dim,imagen,persona_real,persona_predicha,distance,correcta
1,150,Test/s1/6.pgm,1,24,0.08893155306577682,False
1,150,Test/s1/7.pgm,1,16,0.1988641917705536,False
1,150,Test/s1/8.pgm,1,16,0.001953125,False
1,150,Test/s1/9.pgm,1,6,0.11537910997867584,False
1,150,Test/s1/10.pgm,1,24,0.007501118816435337,False
1,150,Test/s2/6.pgm,2,3,0.07139099389314651,False
1,150,Test/s2/7.pgm,2,38,0.08629084378480911,False
1,150,Test/s2/8.pgm,2,24,0.2218044102191925,False
1,150,Test/s2/9.pgm,2,13,0.04367593303322792,False
1,150,Test/s2/10.pgm,2,13,0.0040116398595273495,False
1,150,Test/s3/6.pgm,3,38,0.045394401997327805,False
1,150,Test/s3/7.pgm,3,32,0.024892767891287804,False
1,150,Test/s3/8.pgm,3,38,0.003604693105444312,False
1,150,Test/s3/9.pgm,3,32,0.06113370880484581,False
1,150,Test/s3/10.pgm,3,17,0.022812455892562866,False
1,150,Test/s4/6.pgm,4,27,0.007481227163225412,False
1,150,Test/s4/7.pgm,4,18,0.0042027924209833145,False
1,150,Test/s4/8.pgm,4,4,0.005553192924708128,True
1,150,Test/s4/9.pgm,4,35,0.01913129724562168,False
1,150,Test/s4/10.pgm,4,35,0.04813788831233978,False
1,150,Test/s5/6.pgm,5,4,0.000244140625,False
1,150,Test/s5/7.pgm,5,35,0.03558282554149628,False
1,150,Test/s5/8.pgm,5,32,0.00562053918838501,False
1,150,Test/s5/9.pgm,5,27,0.002367031294852495,False
1,150,Test/s5/10.pgm,5,39,0.015579784289002419,False
1,150,Test/s6/6.pgm,6,6,0.05187744274735451,True
1,150,Test/s6/7.pgm,6,24,0.005524271633476019,False
1,150,Test/s6/8.pgm,6,2,0.01641380414366722,False
1,150,Test/s6/9.pgm,6,24,0.04453274980187416,False
1,150,Test/s6/10.pgm,6,6,0.003088161814957857,True
1,150,Test/s7/6.pgm,7,12,0.04520229250192642,False
1,150,Test/s7/7.pgm,7,12,0.5032367706298828,False
1,150,Test/s7/8.pgm,7,28,0.007258822675794363,False
1,150,Test/s7/9.pgm,7,7,0.8616646528244019,True
1,150,Test/s7/10.pgm,7,12,0.2648411691188812,False
1,150,Test/s8/6.pgm,8,39,0.05522944778203964,False
1,150,Test/s8/7.pgm,8,35,0.033734485507011414,False
1,150,Test/s8/8.pgm,8,5,0.006213606800884008,False
1,150,Test/s8/9.pgm,8,38,0.0008097228710539639,False
